simple,scrambled
(3*p_2 · F_3 · p_4*p_3 · F_2 · p_4 + 3*p_2 · p_3*p_2 · F_3 · F_2 · p_3)/(p_1 · p_3*p_2 · p_4*p_3 · p_4), (3*e_2 · p_3*e_3 · p_2)/(p_1 · p_3) - (3*e_2 · p_4*e_3 · p_2*p_2 · p_3)/(p_1 · p_3*p_2 · p_4) - (3*e_2 · p_3*e_3 · p_4*p_2 · p_3)/(p_1 · p_3*p_3 · p_4) + (3*e_2 · p_3*e_3 · p_2*(p_2 · p_3)^2)/(p_1 · p_3*p_2 · p_4*p_3 · p_4) + (3*e_2 · p_4*e_3 · p_4*(p_2 · p_3)^2)/(p_1 · p_3*p_2 · p_4*p_3 · p_4) - (3*e_2 · e_3*(p_2 · p_3)^3)/(p_1 · p_3*p_2 · p_4*p_3 · p_4)
(2*p_1 · F_2 · p_4*p_2 · F_3 · p_4)/((p_1 · p_2)^2*p_2 · p_4), (-2*e_2 · p_1*e_3 · p_4*p_2 · p_3)/(p_1 · p_2)^2 + (2*e_2 · p_4*e_3 · p_4*p_2 · p_3)/(p_1 · p_2*p_2 · p_4) + (2*e_2 · p_1*e_3 · p_2*p_3 · p_4)/(p_1 · p_2)^2 - (2*e_2 · p_4*e_3 · p_2*p_3 · p_4)/(p_1 · p_2*p_2 · p_4)
(7*p_1 · F_2 · p_4*p_1 · F_3 · p_2 + 9*p_2 · F_3 · p_4*p_3 · F_2 · p_4)/(p_1 · p_4*p_2 · p_4*p_3 · p_4), (9*e_2 · p_3*e_3 · p_2)/(p_1 · p_4) - (9*e_2 · p_4*e_3 · p_2*p_2 · p_3)/(p_1 · p_4*p_2 · p_4) - (7*e_2 · p_1*e_3 · p_2*p_1 · p_3)/(p_1 · p_4*p_3 · p_4) + (7*e_2 · p_1*e_3 · p_1*p_2 · p_3)/(p_1 · p_4*p_3 · p_4) - (9*e_2 · p_3*e_3 · p_4*p_2 · p_3)/(p_1 · p_4*p_3 · p_4) + (7*e_2 · p_4*e_3 · p_2*p_1 · p_2*p_1 · p_3)/(p_1 · p_4*p_2 · p_4*p_3 · p_4) - (7*e_2 · p_4*e_3 · p_1*p_1 · p_2*p_2 · p_3)/(p_1 · p_4*p_2 · p_4*p_3 · p_4) + (9*e_2 · p_4*e_3 · p_4*(p_2 · p_3)^2)/(p_1 · p_4*p_2 · p_4*p_3 · p_4)
(6*p_1 · p_4*p_1 · F_2 · F_3 · p_4 + 3*p_2 · p_4*p_2 · F_3 · F_2 · p_4 + p_1 · p_1*p_4 · F_2 · F_3 · p_4)/(p_1 · p_2*(p_2 · p_4)^2), (3*e_2 · p_3*e_3 · p_2)/(p_1 · p_2) - (3*e_2 · e_3*p_2 · p_3)/(p_1 · p_2) + (6*e_2 · p_3*e_3 · p_4*p_1 · p_4)/(p_2 · p_4)^2 - (e_2 · p_4*e_3 · p_4*p_1 · p_1*p_2 · p_3)/(p_1 · p_2*(p_2 · p_4)^2) - (6*e_2 · p_1*e_3 · p_4*p_1 · p_4*p_2 · p_3)/(p_1 · p_2*(p_2 · p_4)^2) + (e_2 · p_3*e_3 · p_4*p_1 · p_1)/(p_1 · p_2*p_2 · p_4) + (e_2 · p_4*e_3 · p_2*p_1 · p_1*p_3 · p_4)/(p_1 · p_2*(p_2 · p_4)^2) - (6*e_2 · e_3*p_1 · p_4*p_3 · p_4)/(p_2 · p_4)^2 + (6*e_2 · p_1*e_3 · p_2*p_1 · p_4*p_3 · p_4)/(p_1 · p_2*(p_2 · p_4)^2) - (e_2 · e_3*p_1 · p_1*p_3 · p_4)/(p_1 · p_2*p_2 · p_4)
(12*p_1 · F_2 · p_3*p_1 · F_3 · p_4 + 9*p_2 · p_4*p_4 · F_2 · F_3 · p_4)/(p_1 · p_1*p_1 · p_4*p_2 · p_3), (-12*e_2 · p_1*e_3 · p_4*p_1 · p_3)/(p_1 · p_1*p_1 · p_4) + (12*e_2 · p_3*e_3 · p_4*p_1 · p_2*p_1 · p_3)/(p_1 · p_1*p_1 · p_4*p_2 · p_3) - (9*e_2 · p_4*e_3 · p_4*p_2 · p_4)/(p_1 · p_1*p_1 · p_4) + (9*e_2 · p_3*e_3 · p_4*(p_2 · p_4)^2)/(p_1 · p_1*p_1 · p_4*p_2 · p_3) + (12*e_2 · p_1*e_3 · p_1*p_3 · p_4)/(p_1 · p_1*p_1 · p_4) - (12*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_1 · p_1*p_1 · p_4*p_2 · p_3) + (9*e_2 · p_4*e_3 · p_2*p_2 · p_4*p_3 · p_4)/(p_1 · p_1*p_1 · p_4*p_2 · p_3) - (9*e_2 · e_3*(p_2 · p_4)^2*p_3 · p_4)/(p_1 · p_1*p_1 · p_4*p_2 · p_3)
(9*p_1 · F_2 · p_4*p_1 · F_3 · p_4)/(p_1 · p_4*p_2 · p_4*p_3 · p_4), (9*e_2 · p_1*e_3 · p_1)/(p_1 · p_4) - (9*e_2 · p_4*e_3 · p_1*p_1 · p_2)/(p_1 · p_4*p_2 · p_4) - (9*e_2 · p_1*e_3 · p_4*p_1 · p_3)/(p_1 · p_4*p_3 · p_4) + (9*e_2 · p_4*e_3 · p_4*p_1 · p_2*p_1 · p_3)/(p_1 · p_4*p_2 · p_4*p_3 · p_4)
(5*p_3 · p_4*p_3 · F_2 · F_3 · p_4)/(p_1 · p_3*(p_2 · p_4)^2), (5*e_2 · p_3*e_3 · p_2*(p_3 · p_4)^2)/(p_1 · p_3*(p_2 · p_4)^2) - (5*e_2 · e_3*p_2 · p_3*(p_3 · p_4)^2)/(p_1 · p_3*(p_2 · p_4)^2)
(7*p_1 · F_2 · p_3*p_1 · F_3 · p_2)/(p_1 · p_3*(p_1 · p_4)^2), (7*e_2 · p_3*e_3 · p_2*p_1 · p_2)/(p_1 · p_4)^2 - (7*e_2 · p_1*e_3 · p_2*p_2 · p_3)/(p_1 · p_4)^2 - (7*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_2 · p_3)/(p_1 · p_3*(p_1 · p_4)^2) + (7*e_2 · p_1*e_3 · p_1*(p_2 · p_3)^2)/(p_1 · p_3*(p_1 · p_4)^2)
(10*p_1 · F_2 · p_4*p_2 · F_3 · p_4 + 10*p_2 · F_3 · p_4*p_3 · F_2 · p_4)/(p_1 · p_1*(p_2 · p_4)^2), (10*e_2 · p_4*e_3 · p_4*p_1 · p_2*p_2 · p_3)/(p_1 · p_1*(p_2 · p_4)^2) + (10*e_2 · p_4*e_3 · p_4*(p_2 · p_3)^2)/(p_1 · p_1*(p_2 · p_4)^2) - (10*e_2 · p_1*e_3 · p_4*p_2 · p_3)/(p_1 · p_1*p_2 · p_4) - (10*e_2 · p_3*e_3 · p_4*p_2 · p_3)/(p_1 · p_1*p_2 · p_4) - (10*e_2 · p_4*e_3 · p_2*p_1 · p_2*p_3 · p_4)/(p_1 · p_1*(p_2 · p_4)^2) - (10*e_2 · p_4*e_3 · p_2*p_2 · p_3*p_3 · p_4)/(p_1 · p_1*(p_2 · p_4)^2) + (10*e_2 · p_1*e_3 · p_2*p_3 · p_4)/(p_1 · p_1*p_2 · p_4) + (10*e_2 · p_3*e_3 · p_2*p_3 · p_4)/(p_1 · p_1*p_2 · p_4)
(9*p_1 · F_2 · p_3*p_1 · F_3 · p_4)/(p_2 · p_3)^3, (9*e_2 · p_3*e_3 · p_4*p_1 · p_2*p_1 · p_3)/(p_2 · p_3)^3 - (9*e_2 · p_1*e_3 · p_4*p_1 · p_3)/(p_2 · p_3)^2 - (9*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_2 · p_3)^3 + (9*e_2 · p_1*e_3 · p_1*p_3 · p_4)/(p_2 · p_3)^2
(4*p_1 · F_2 · p_3*p_1 · F_3 · p_4 + 10*p_1 · p_2*p_3 · F_2 · F_3 · p_4)/(p_2 · p_3*(p_3 · p_4)^2), (-4*e_2 · p_1*e_3 · p_4*p_1 · p_3)/(p_3 · p_4)^2 + (4*e_2 · p_3*e_3 · p_4*p_1 · p_2*p_1 · p_3)/(p_2 · p_3*(p_3 · p_4)^2) + (4*e_2 · p_1*e_3 · p_1)/(p_3 · p_4) - (10*e_2 · e_3*p_1 · p_2)/(p_3 · p_4) - (4*e_2 · p_3*e_3 · p_1*p_1 · p_2)/(p_2 · p_3*p_3 · p_4) + (10*e_2 · p_3*e_3 · p_2*p_1 · p_2)/(p_2 · p_3*p_3 · p_4)
(8*p_1 · F_3 · p_2*p_3 · F_2 · p_4 + 6*p_3 · p_4*p_1 · F_2 · F_3 · p_1)/(p_1 · p_1*(p_1 · p_3)^2), (8*e_2 · p_4*e_3 · p_2*p_2 · p_3)/(p_1 · p_1*p_1 · p_3) - (8*e_2 · p_4*e_3 · p_1*(p_2 · p_3)^2)/(p_1 · p_1*(p_1 · p_3)^2) - (8*e_2 · p_3*e_3 · p_2*p_2 · p_4)/(p_1 · p_1*p_1 · p_3) + (8*e_2 · p_3*e_3 · p_1*p_2 · p_3*p_2 · p_4)/(p_1 · p_1*(p_1 · p_3)^2) + (6*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_1 · p_1*(p_1 · p_3)^2) + (6*e_2 · p_1*e_3 · p_2*p_3 · p_4)/(p_1 · p_1*p_1 · p_3) - (6*e_2 · e_3*p_1 · p_2*p_3 · p_4)/(p_1 · p_1*p_1 · p_3) - (6*e_2 · p_1*e_3 · p_1*p_2 · p_3*p_3 · p_4)/(p_1 · p_1*(p_1 · p_3)^2)
(7*p_1 · F_2 · p_3*p_2 · F_3 · p_4 + 9*p_1 · F_3 · p_4*p_3 · F_2 · p_4)/((p_2 · p_4)^2*p_3 · p_4), (-7*e_2 · p_3*e_3 · p_2*p_1 · p_2)/(p_2 · p_4)^2 - (9*e_2 · p_4*e_3 · p_1*p_2 · p_3)/(p_2 · p_4)^2 + (7*e_2 · p_1*e_3 · p_2*p_2 · p_3)/(p_2 · p_4)^2 + (9*e_2 · p_3*e_3 · p_1)/(p_2 · p_4) + (7*e_2 · p_3*e_3 · p_4*p_1 · p_2*p_2 · p_3)/((p_2 · p_4)^2*p_3 · p_4) + (9*e_2 · p_4*e_3 · p_4*p_1 · p_3*p_2 · p_3)/((p_2 · p_4)^2*p_3 · p_4) - (7*e_2 · p_1*e_3 · p_4*(p_2 · p_3)^2)/((p_2 · p_4)^2*p_3 · p_4) - (9*e_2 · p_3*e_3 · p_4*p_1 · p_3)/(p_2 · p_4*p_3 · p_4)
(p_1 · F_2 · p_4*p_1 · F_3 · p_4 + 3*p_1 · p_4*p_2 · p_3*Tr(F_2 · F_3))/(p_1 · p_1*p_1 · p_2*p_3 · p_4), -((e_2 · p_4*e_3 · p_1)/(p_1 · p_1)) + (e_2 · p_1*e_3 · p_1*p_2 · p_4)/(p_1 · p_1*p_1 · p_2) + (e_2 · p_4*e_3 · p_4*p_1 · p_3)/(p_1 · p_1*p_3 · p_4) + (6*e_2 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_3)/(p_1 · p_1*p_1 · p_2*p_3 · p_4) - (6*e_2 · e_3*p_1 · p_4*(p_2 · p_3)^2)/(p_1 · p_1*p_1 · p_2*p_3 · p_4) - (e_2 · p_1*e_3 · p_4*p_1 · p_3*p_2 · p_4)/(p_1 · p_1*p_1 · p_2*p_3 · p_4)
(9*p_4 · F_2 · F_3 · p_4)/(p_1 · p_3*p_2 · p_4), (9*e_2 · p_3*e_3 · p_4)/(p_1 · p_3) - (9*e_2 · p_4*e_3 · p_4*p_2 · p_3)/(p_1 · p_3*p_2 · p_4) - (9*e_2 · e_3*p_3 · p_4)/(p_1 · p_3) + (9*e_2 · p_4*e_3 · p_2*p_3 · p_4)/(p_1 · p_3*p_2 · p_4)
(8*p_1 · F_2 · p_3*p_1 · F_3 · p_2)/(p_1 · p_1*p_1 · p_2*p_1 · p_4), (8*e_2 · p_3*e_3 · p_2*p_1 · p_3)/(p_1 · p_1*p_1 · p_4) - (8*e_2 · p_3*e_3 · p_1*p_2 · p_3)/(p_1 · p_1*p_1 · p_4) - (8*e_2 · p_1*e_3 · p_2*p_1 · p_3*p_2 · p_3)/(p_1 · p_1*p_1 · p_2*p_1 · p_4) + (8*e_2 · p_1*e_3 · p_1*(p_2 · p_3)^2)/(p_1 · p_1*p_1 · p_2*p_1 · p_4)
(6*p_1 · p_4*p_1 · F_3 · F_2 · p_4 + 9*p_1 · p_4*p_3 · F_2 · F_3 · p_4)/(p_1 · p_3*(p_2 · p_3)^2), (6*e_2 · p_4*e_3 · p_2*p_1 · p_4)/(p_2 · p_3)^2 - (6*e_2 · p_4*e_3 · p_1*p_1 · p_4)/(p_1 · p_3*p_2 · p_3) - (6*e_2 · e_3*p_1 · p_4*p_2 · p_4)/(p_2 · p_3)^2 + (6*e_2 · p_3*e_3 · p_1*p_1 · p_4*p_2 · p_4)/(p_1 · p_3*(p_2 · p_3)^2) + (9*e_2 · p_3*e_3 · p_2*p_1 · p_4*p_3 · p_4)/(p_1 · p_3*(p_2 · p_3)^2) - (9*e_2 · e_3*p_1 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3)
(9*p_1 · F_3 · F_2 · p_4)/(p_1 · p_1*p_1 · p_3), (9*e_2 · p_4*e_3 · p_2)/(p_1 · p_1) - (9*e_2 · p_4*e_3 · p_1*p_2 · p_3)/(p_1 · p_1*p_1 · p_3) - (9*e_2 · e_3*p_2 · p_4)/(p_1 · p_1) + (9*e_2 · p_3*e_3 · p_1*p_2 · p_4)/(p_1 · p_1*p_1 · p_3)
(5*p_1 · F_2 · p_3*p_1 · F_3 · p_2)/((p_1 · p_1)^2*p_2 · p_3), (-5*e_2 · p_3*e_3 · p_1*p_1 · p_2)/(p_1 · p_1)^2 - (5*e_2 · p_1*e_3 · p_2*p_1 · p_3)/(p_1 · p_1)^2 + (5*e_2 · p_3*e_3 · p_2*p_1 · p_2*p_1 · p_3)/((p_1 · p_1)^2*p_2 · p_3) + (5*e_2 · p_1*e_3 · p_1*p_2 · p_3)/(p_1 · p_1)^2
(6*p_1 · F_2 · p_4*p_1 · F_3 · p_4 + 4*p_1 · F_3 · p_4*p_3 · F_2 · p_4 + 9*p_2 · F_3 · p_4*p_3 · F_2 · p_4)/(p_1 · p_3)^3, (6*e_2 · p_4*e_3 · p_4*p_1 · p_2)/(p_1 · p_3)^2 + (4*e_2 · p_4*e_3 · p_4*p_2 · p_3)/(p_1 · p_3)^2 + (9*e_2 · p_4*e_3 · p_4*(p_2 · p_3)^2)/(p_1 · p_3)^3 - (6*e_2 · p_1*e_3 · p_4*p_2 · p_4)/(p_1 · p_3)^2 - (4*e_2 · p_3*e_3 · p_4*p_2 · p_4)/(p_1 · p_3)^2 - (9*e_2 · p_3*e_3 · p_4*p_2 · p_3*p_2 · p_4)/(p_1 · p_3)^3 - (6*e_2 · p_4*e_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_1 · p_3)^3 - (4*e_2 · p_4*e_3 · p_1*p_2 · p_3*p_3 · p_4)/(p_1 · p_3)^3 - (9*e_2 · p_4*e_3 · p_2*p_2 · p_3*p_3 · p_4)/(p_1 · p_3)^3 + (6*e_2 · p_1*e_3 · p_1*p_2 · p_4*p_3 · p_4)/(p_1 · p_3)^3 + (4*e_2 · p_3*e_3 · p_1*p_2 · p_4*p_3 · p_4)/(p_1 · p_3)^3 + (9*e_2 · p_3*e_3 · p_2*p_2 · p_4*p_3 · p_4)/(p_1 · p_3)^3
(7*p_3 · F_2 · F_3 · p_4)/(p_2 · p_4*p_3 · p_4), (7*e_2 · p_3*e_3 · p_2)/(p_2 · p_4) - (7*e_2 · e_3*p_2 · p_3)/(p_2 · p_4)
(5*p_4 · F_2 · F_3 · p_4)/(p_1 · p_3)^2, (-5*e_2 · p_4*e_3 · p_4*p_2 · p_3)/(p_1 · p_3)^2 + (5*e_2 · p_3*e_3 · p_4*p_2 · p_4)/(p_1 · p_3)^2 + (5*e_2 · p_4*e_3 · p_2*p_3 · p_4)/(p_1 · p_3)^2 - (5*e_2 · e_3*p_2 · p_4*p_3 · p_4)/(p_1 · p_3)^2
(8*p_2 · p_3*p_1 · F_2 · F_3 · p_4 + 10*p_2 · p_3*p_1 · F_3 · F_2 · p_4)/((p_1 · p_2)^2*p_2 · p_4), (10*e_2 · p_3*e_3 · p_1*p_2 · p_3)/(p_1 · p_2)^2 - (10*e_2 · e_3*p_1 · p_3*p_2 · p_3)/(p_1 · p_2)^2 + (8*e_2 · p_3*e_3 · p_4*p_2 · p_3)/(p_1 · p_2*p_2 · p_4) + (10*e_2 · p_4*e_3 · p_2*p_1 · p_3*p_2 · p_3)/((p_1 · p_2)^2*p_2 · p_4) - (10*e_2 · p_4*e_3 · p_1*(p_2 · p_3)^2)/((p_1 · p_2)^2*p_2 · p_4) - (8*e_2 · p_1*e_3 · p_4*(p_2 · p_3)^2)/((p_1 · p_2)^2*p_2 · p_4) + (8*e_2 · p_1*e_3 · p_2*p_2 · p_3*p_3 · p_4)/((p_1 · p_2)^2*p_2 · p_4) - (8*e_2 · e_3*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_4)
(9*p_2 · F_3 · p_4*p_3 · F_2 · p_4 + 2*p_3 · p_4*p_1 · F_2 · F_3 · p_2)/((p_1 · p_2)^2*p_1 · p_3), (9*e_2 · p_4*e_3 · p_4*(p_2 · p_3)^2)/((p_1 · p_2)^2*p_1 · p_3) - (9*e_2 · p_3*e_3 · p_4*p_2 · p_3*p_2 · p_4)/((p_1 · p_2)^2*p_1 · p_3) + (2*e_2 · p_3*e_3 · p_2*p_3 · p_4)/(p_1 · p_2*p_1 · p_3) - (9*e_2 · p_4*e_3 · p_2*p_2 · p_3*p_3 · p_4)/((p_1 · p_2)^2*p_1 · p_3) - (2*e_2 · e_3*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_1 · p_3) + (9*e_2 · p_3*e_3 · p_2*p_2 · p_4*p_3 · p_4)/((p_1 · p_2)^2*p_1 · p_3)
(10*p_1 · F_2 · p_3*p_1 · F_3 · p_2 + 5*p_1 · F_2 · p_4*p_2 · F_3 · p_4 + 6*p_1 · p_2*p_1 · F_2 · F_3 · p_4)/((p_1 · p_2)^2*p_1 · p_3), (10*e_2 · p_3*e_3 · p_2)/(p_1 · p_2) + (6*e_2 · p_3*e_3 · p_4)/(p_1 · p_3) - (10*e_2 · p_1*e_3 · p_2*p_2 · p_3)/(p_1 · p_2)^2 - (10*e_2 · p_3*e_3 · p_1*p_2 · p_3)/(p_1 · p_2*p_1 · p_3) - (6*e_2 · p_1*e_3 · p_4*p_2 · p_3)/(p_1 · p_2*p_1 · p_3) + (5*e_2 · p_4*e_3 · p_4*p_2 · p_3)/(p_1 · p_2*p_1 · p_3) + (10*e_2 · p_1*e_3 · p_1*(p_2 · p_3)^2)/((p_1 · p_2)^2*p_1 · p_3) - (5*e_2 · p_1*e_3 · p_4*p_2 · p_3*p_2 · p_4)/((p_1 · p_2)^2*p_1 · p_3) - (6*e_2 · e_3*p_3 · p_4)/(p_1 · p_3) + (6*e_2 · p_1*e_3 · p_2*p_3 · p_4)/(p_1 · p_2*p_1 · p_3) - (5*e_2 · p_4*e_3 · p_2*p_3 · p_4)/(p_1 · p_2*p_1 · p_3) + (5*e_2 · p_1*e_3 · p_2*p_2 · p_4*p_3 · p_4)/((p_1 · p_2)^2*p_1 · p_3)
(4*p_1 · F_2 · p_4*p_1 · F_3 · p_4)/(p_1 · p_1*(p_1 · p_4)^2), (4*e_2 · p_4*e_3 · p_4*p_1 · p_2*p_1 · p_3)/(p_1 · p_1*(p_1 · p_4)^2) - (4*e_2 · p_1*e_3 · p_4*p_1 · p_3*p_2 · p_4)/(p_1 · p_1*(p_1 · p_4)^2) - (4*e_2 · p_4*e_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_1 · p_1*(p_1 · p_4)^2) + (4*e_2 · p_1*e_3 · p_1*p_2 · p_4*p_3 · p_4)/(p_1 · p_1*(p_1 · p_4)^2)
(p_2 · p_4*p_1 · F_3 · F_2 · p_4)/((p_1 · p_3)^2*p_2 · p_3), -((e_2 · p_4*e_3 · p_1*p_2 · p_4)/(p_1 · p_3)^2) + (e_2 · p_4*e_3 · p_2*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) + (e_2 · p_3*e_3 · p_1*(p_2 · p_4)^2)/((p_1 · p_3)^2*p_2 · p_3) - (e_2 · e_3*(p_2 · p_4)^2)/(p_1 · p_3*p_2 · p_3)
(9*p_1 · F_2 · p_3*p_1 · F_3 · p_2 + 2*p_1 · F_2 · p_4*p_1 · F_3 · p_2 + 4*p_2 · p_3*p_1 · F_2 · F_3 · p_1)/((p_1 · p_1)^2*p_1 · p_2), (9*e_2 · p_3*e_3 · p_2*p_1 · p_3)/(p_1 · p_1)^2 + (2*e_2 · p_4*e_3 · p_2*p_1 · p_3)/(p_1 · p_1)^2 - (5*e_2 · p_3*e_3 · p_1*p_2 · p_3)/(p_1 · p_1)^2 - (2*e_2 · p_4*e_3 · p_1*p_2 · p_3)/(p_1 · p_1)^2 - (4*e_2 · e_3*p_1 · p_3*p_2 · p_3)/(p_1 · p_1)^2 - (5*e_2 · p_1*e_3 · p_2*p_1 · p_3*p_2 · p_3)/((p_1 · p_1)^2*p_1 · p_2) + (5*e_2 · p_1*e_3 · p_1*(p_2 · p_3)^2)/((p_1 · p_1)^2*p_1 · p_2) - (2*e_2 · p_1*e_3 · p_2*p_1 · p_3*p_2 · p_4)/((p_1 · p_1)^2*p_1 · p_2) + (2*e_2 · p_1*e_3 · p_1*p_2 · p_3*p_2 · p_4)/((p_1 · p_1)^2*p_1 · p_2)
(8*p_2 · F_3 · p_4*p_3 · F_2 · p_4 + 5*p_2 · p_3*p_1 · F_3 · F_2 · p_4)/(p_1 · p_3*(p_2 · p_3)^2), (-5*e_2 · p_4*e_3 · p_1)/(p_1 · p_3) + (8*e_2 · p_4*e_3 · p_4)/(p_1 · p_3) + (5*e_2 · p_4*e_3 · p_2)/(p_2 · p_3) - (5*e_2 · e_3*p_2 · p_4)/(p_2 · p_3) + (5*e_2 · p_3*e_3 · p_1*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - (8*e_2 · p_3*e_3 · p_4*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - (8*e_2 · p_4*e_3 · p_2*p_3 · p_4)/(p_1 · p_3*p_2 · p_3) + (8*e_2 · p_3*e_3 · p_2*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*(p_2 · p_3)^2)
(7*p_1 · F_2 · p_4*p_1 · F_3 · p_4)/(p_1 · p_1*(p_2 · p_4)^2), (7*e_2 · p_4*e_3 · p_4*p_1 · p_2*p_1 · p_3)/(p_1 · p_1*(p_2 · p_4)^2) - (7*e_2 · p_1*e_3 · p_4*p_1 · p_3)/(p_1 · p_1*p_2 · p_4) - (7*e_2 · p_4*e_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_1 · p_1*(p_2 · p_4)^2) + (7*e_2 · p_1*e_3 · p_1*p_3 · p_4)/(p_1 · p_1*p_2 · p_4)
(6*p_1 · p_4*p_1 · F_3 · F_2 · p_3 + 8*p_3 · p_4*p_3 · F_2 · F_3 · p_4)/(p_1 · p_2*(p_1 · p_4)^2), (6*e_2 · p_3*e_3 · p_2*p_1 · p_3)/(p_1 · p_2*p_1 · p_4) - (6*e_2 · e_3*p_1 · p_3*p_2 · p_3)/(p_1 · p_2*p_1 · p_4) + (8*e_2 · p_3*e_3 · p_2*(p_3 · p_4)^2)/(p_1 · p_2*(p_1 · p_4)^2) - (8*e_2 · e_3*p_2 · p_3*(p_3 · p_4)^2)/(p_1 · p_2*(p_1 · p_4)^2)
(2*p_2 · F_3 · p_4*p_3 · F_2 · p_4)/(p_1 · p_1*p_2 · p_4*p_3 · p_4), (2*e_2 · p_3*e_3 · p_2)/(p_1 · p_1) - (2*e_2 · p_4*e_3 · p_2*p_2 · p_3)/(p_1 · p_1*p_2 · p_4) - (2*e_2 · p_3*e_3 · p_4*p_2 · p_3)/(p_1 · p_1*p_3 · p_4) + (2*e_2 · p_4*e_3 · p_4*(p_2 · p_3)^2)/(p_1 · p_1*p_2 · p_4*p_3 · p_4)
(7*p_1 · F_2 · p_4*p_2 · F_3 · p_4 + p_1 · p_4*p_1 · F_2 · F_3 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4), (7*e_2 · p_1*e_3 · p_2)/(p_1 · p_2) - (7*e_2 · p_4*e_3 · p_2)/(p_2 · p_4) - (e_2 · e_3*p_1 · p_4)/(p_2 · p_4) + (e_2 · p_1*e_3 · p_2*p_1 · p_4)/(p_1 · p_2*p_2 · p_4) - (7*e_2 · p_1*e_3 · p_4*p_2 · p_3)/(p_1 · p_2*p_3 · p_4) + (e_2 · p_3*e_3 · p_4*p_1 · p_4)/(p_2 · p_4*p_3 · p_4) + (7*e_2 · p_4*e_3 · p_4*p_2 · p_3)/(p_2 · p_4*p_3 · p_4) - (e_2 · p_1*e_3 · p_4*p_1 · p_4*p_2 · p_3)/(p_1 · p_2*p_2 · p_4*p_3 · p_4)
(9*p_1 · F_3 · p_4*p_3 · F_2 · p_4 + 3*p_1 · p_3*p_1 · F_2 · F_3 · p_1)/(p_1 · p_2*p_1 · p_3*p_2 · p_3), (-3*e_2 · p_1*e_3 · p_1)/(p_1 · p_2) + (9*e_2 · p_4*e_3 · p_4)/(p_1 · p_2) + (3*e_2 · p_3*e_3 · p_1)/(p_2 · p_3) - (3*e_2 · e_3*p_1 · p_3)/(p_2 · p_3) + (3*e_2 · p_1*e_3 · p_2*p_1 · p_3)/(p_1 · p_2*p_2 · p_3) - (9*e_2 · p_3*e_3 · p_4*p_2 · p_4)/(p_1 · p_2*p_2 · p_3) - (9*e_2 · p_4*e_3 · p_1*p_3 · p_4)/(p_1 · p_2*p_1 · p_3) + (9*e_2 · p_3*e_3 · p_1*p_2 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3)
(7*p_1 · F_2 · p_4*p_1 · F_3 · p_2 + 3*p_1 · F_2 · p_3*p_1 · F_3 · p_4 + 4*p_1 · F_3 · p_2*p_3 · F_2 · p_4)/(p_1 · p_4*(p_2 · p_3)^2), (-4*e_2 · p_4*e_3 · p_1)/(p_1 · p_4) + (7*e_2 · p_4*e_3 · p_2*p_1 · p_2*p_1 · p_3)/(p_1 · p_4*(p_2 · p_3)^2) + (3*e_2 · p_3*e_3 · p_4*p_1 · p_2*p_1 · p_3)/(p_1 · p_4*(p_2 · p_3)^2) - (7*e_2 · p_4*e_3 · p_1*p_1 · p_2)/(p_1 · p_4*p_2 · p_3) + (4*e_2 · p_4*e_3 · p_2*p_1 · p_3)/(p_1 · p_4*p_2 · p_3) - (3*e_2 · p_1*e_3 · p_4*p_1 · p_3)/(p_1 · p_4*p_2 · p_3) - (7*e_2 · p_1*e_3 · p_2*p_1 · p_3*p_2 · p_4)/(p_1 · p_4*(p_2 · p_3)^2) - (4*e_2 · p_3*e_3 · p_2*p_1 · p_3*p_2 · p_4)/(p_1 · p_4*(p_2 · p_3)^2) + (7*e_2 · p_1*e_3 · p_1*p_2 · p_4)/(p_1 · p_4*p_2 · p_3) + (4*e_2 · p_3*e_3 · p_1*p_2 · p_4)/(p_1 · p_4*p_2 · p_3) - (3*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_1 · p_4*(p_2 · p_3)^2) + (3*e_2 · p_1*e_3 · p_1*p_3 · p_4)/(p_1 · p_4*p_2 · p_3)
