simple,scrambled
(((-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*(((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4))*(p_4 · p_2 + p_1 · p_3)/(p_4 · p_2 + p_1 · p_3))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4),(((-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*((((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/((p_3 · p_4 - p_2 · p_4)*p_2 · p_4*p_2 · p_3) - (((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/((p_3 · p_4 - p_2 · p_4)*p_3 · p_4*p_2 · p_3)))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4))*(p_4 · p_2 + p_1 · p_3)/(p_4 · p_2 + p_1 · p_3))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4)
((-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*(((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4))*(p_4 · p_2 + p_1 · p_3)/(p_4 · p_2 + p_1 · p_3),(((-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*(((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4))*(p_4 · p_2 + p_1 · p_3)/(p_4 · p_2 + p_1 · p_3))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4)
(-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*(((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4),((-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*(((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4))*(p_4 · p_2 + p_1 · p_3)/(p_4 · p_2 + p_1 · p_3)
-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*(((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4),(-3*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3*p_2 · p_4)/(p_1 · p_2*p_2 · p_4*p_3 · p_4) - 69*(((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_3 · p_1 + p_2 · p_4)/(p_3 · p_1 + p_2 · p_4)
7*(p_1 · F_3 · F_2 · p_1)/(p_2 · p_3*p_3 · p_4),7*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_1) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_2 · p_3*p_3 · p_4)
7*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_1 · p_3)*(e_3 · e_2)*(-(p_1 · p_1 + p_3 · p_1 + p_4 · p_1)) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_2 · p_3*-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4)),(7*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_1 · p_3)*(e_3 · e_2)*(-(p_1 · p_1 + p_3 · p_1 + p_4 · p_1)) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_2 · p_3*-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4)))*(p_1 · p_2 + p_3 · p_4)/(p_1 · p_2 + p_3 · p_4)
7*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_1) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_2 · p_3*-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4)),7*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_1 · p_3)*(e_3 · e_2)*(-(p_1 · p_1 + p_3 · p_1 + p_4 · p_1)) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_2 · p_3*-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4))
7*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_1) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_2 · p_3*p_3 · p_4),7*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_1) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_2 · p_3*-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4))
8*(Tr(F_2 · F_3)*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - 72*(Tr(F_2 · F_3)*p_2 · p_4)/(p_2 · p_3*p_3 · p_4),8*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - 72*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_2 · p_3*p_3 · p_4)
(8*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - 72*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_2 · p_3*p_3 · p_4))*(p_4 · p_3 + p_2 · p_1)/(p_4 · p_3 + p_2 · p_1),(8*(((e_2 · p_3)*(-(e_3 · p_1 + e_3 · p_3 + e_3 · p_4)) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - 72*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_2 · p_3*p_3 · p_4))*(p_4 · p_3 + p_2 · p_1)/(p_4 · p_3 + p_2 · p_1)
8*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - 72*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_2 · p_3*p_3 · p_4),(8*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_1 · p_3*p_2 · p_3) - 72*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_2 · p_3*p_3 · p_4))*(p_4 · p_3 + p_2 · p_1)/(p_4 · p_3 + p_2 · p_1)
5*(Tr(F_2 · F_3))/(p_3 · p_4),5*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_3 · p_4)
5*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4)),(5*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4))) - (p_3 · p_3 - 2*p_2 · p_4 - 2*p_1 · p_4 - p_4 · p_4 - p_1 · p_1 - 2*p_1 · p_2 - p_2 · p_2)
5*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_3 · p_4),5*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(-(p_1 · p_4 + p_2 · p_4 + p_4 · p_4))
4*(p_1 · F_2 · p_3*p_2 · F_3 · p_1*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4),4*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_2 · p_3)*(e_3 · p_1) - (p_2 · e_3)*(p_3 · p_1))*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4)
(4*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_2 · p_3)*(e_3 · p_1) - (p_2 · e_3)*(p_3 · p_1))*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_1 · p_3)/(p_1 · p_3),((4*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_2 · p_3)*(e_3 · p_1) - (p_2 · e_3)*(p_3 · p_1))*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_1 · p_3)/(p_1 · p_3)) + ((-p_4 · p_4 - 2*p_1 · p_2 - 2*p_2 · p_4 + p_3 · p_3 - p_2 · p_2 - p_1 · p_1 - 2*p_1 · p_4)*p_1 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4)
4*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_2 · p_3)*(e_3 · p_1) - (p_2 · e_3)*(p_3 · p_1))*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4),(4*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_2 · p_3)*(e_3 · p_1) - (p_2 · e_3)*(p_3 · p_1))*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4))*(p_1 · p_3)/(p_1 · p_3)
6*(Tr(F_2 · F_3))/(p_2 · p_4),6*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_2 · p_4)
6*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_2 · p_4),6*(((-(e_2 · p_1 + e_2 · p_2 + e_2 · p_4))*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_2 · p_4)
-6*(p_1 · F_2 · F_3 · p_1*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4),-6*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4)
-6*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(-(p_1 · p_1 + p_2 · p_1 + p_4 · p_1)) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4),-6*(((p_1 · p_2)*(-(e_2 · p_1 + e_2 · p_2 + e_2 · p_4))*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(-(p_1 · p_1 + p_2 · p_1 + p_4 · p_1)) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4)
-6*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4),-6*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(-(p_1 · p_1 + p_2 · p_1 + p_4 · p_1)) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4)
6*(Tr(F_2 · F_3)*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3*p_3 · p_4) - 34*(Tr(F_2 · F_3))/(p_3 · p_4),6*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3*p_3 · p_4) - 34*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_3 · p_4)
6*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3*p_3 · p_4) - 34*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_3 · p_4),6*((((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_3*p_3 · p_4)/((p_1 · p_2 - p_2 · p_3)*p_2 · p_3*p_3 · p_4) - (((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_3*p_3 · p_4)/((p_1 · p_2 - p_2 · p_3)*p_1 · p_2*p_3 · p_4)) - 34*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_3 · p_4)
9*(p_1 · F_3 · p_2*p_3 · F_2 · p_3)/(p_1 · p_2*p_2 · p_3*p_2 · p_4),9*(((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*((p_3 · p_2)*(e_2 · p_3) - (p_3 · e_2)*(p_2 · p_3)))/(p_1 · p_2*p_2 · p_3*p_2 · p_4)
9*(((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*((-(p_1 · p_2 + p_2 · p_2 + p_4 · p_2))*(e_2 · p_3) - (p_3 · e_2)*(p_2 · p_3)))/(p_1 · p_2*p_2 · p_3*p_2 · p_4),9*((((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*((-(p_1 · p_2 + p_2 · p_2 + p_4 · p_2))*(e_2 · p_3) - (p_3 · e_2)*(p_2 · p_3)))/((p_2 · p_3 - p_1 · p_2)*p_1 · p_2*p_2 · p_4) - (((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*((-(p_1 · p_2 + p_2 · p_2 + p_4 · p_2))*(e_2 · p_3) - (p_3 · e_2)*(p_2 · p_3)))/((p_2 · p_3 - p_1 · p_2)*p_2 · p_3*p_2 · p_4))
9*(((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*((p_3 · p_2)*(e_2 · p_3) - (p_3 · e_2)*(p_2 · p_3)))/(p_1 · p_2*p_2 · p_3*p_2 · p_4),9*(((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*((-(p_1 · p_2 + p_2 · p_2 + p_4 · p_2))*(e_2 · p_3) - (p_3 · e_2)*(p_2 · p_3)))/(p_1 · p_2*p_2 · p_3*p_2 · p_4)
5*(p_2 · F_3 · p_2*p_4 · F_2 · p_1*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4),5*(((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4)
5*((((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/((p_2 · p_3 - p_1 · p_2)*p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) - (((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/((p_2 · p_3 - p_1 · p_2)*p_2 · p_3*p_1 · p_3*p_2 · p_4*p_3 · p_4)),5*(((((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/((p_1 · p_2 - p_2 · p_4)*p_2 · p_4*(p_2 · p_3 - p_1 · p_2)*p_1 · p_3*p_3 · p_4) - (((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/((p_1 · p_2 - p_2 · p_4)*p_1 · p_2*(p_2 · p_3 - p_1 · p_2)*p_1 · p_3*p_3 · p_4)) - (((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/((p_2 · p_3 - p_1 · p_2)*p_2 · p_3*p_1 · p_3*p_2 · p_4*p_3 · p_4))
5*(((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4),5*((((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/((p_2 · p_3 - p_1 · p_2)*p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) - (((p_2 · p_3)*(e_3 · p_2) - (p_2 · e_3)*(p_3 · p_2))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_1 · p_2*p_1 · p_4)/((p_2 · p_3 - p_1 · p_2)*p_2 · p_3*p_1 · p_3*p_2 · p_4*p_3 · p_4))
-4*(p_1 · F_2 · F_3 · p_1*p_1 · p_3)/(p_1 · p_2*p_2 · p_4*p_3 · p_4),-4*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_1 · p_3)/(p_1 · p_2*p_2 · p_4*p_3 · p_4)
-4*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_1 · p_3)/(p_1 · p_2*p_2 · p_4*p_3 · p_4),(-4*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_1 · p_3)/(p_1 · p_2*p_2 · p_4*p_3 · p_4))*(p_2 · p_1 + p_4 · p_3)/(p_2 · p_1 + p_4 · p_3)
5*(p_1 · F_2 · p_4*p_1 · F_3 · p_1*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) + 81*(p_4 · F_3 · F_2 · p_4*p_1 · p_4*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4),5*(((p_1 · p_2)*(e_2 · p_4) - (p_1 · e_2)*(p_2 · p_4))*((p_1 · p_3)*(e_3 · p_1) - (p_1 · e_3)*(p_3 · p_1))*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) + 81*(((p_4 · p_3)*(e_3 · p_2)*(e_2 · p_4) - (p_4 · e_3)*(p_3 · p_2)*(e_2 · p_4) - (p_4 · p_3)*(e_3 · e_2)*(p_2 · p_4) + (p_4 · e_3)*(p_3 · e_2)*(p_2 · p_4))*p_1 · p_4*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4)
